content,label
"['안재현', '댓글', '알바', '쩐다', '역시', '소속사', '있다', '되다', '같이', '논리', '적', '말', '없다', '구혜선', '또', '라이', '같다', '말', '도배', '하다', '놨', '알바', '들', '분발', '하다', '너무', '티', '나']",1
"['메', '갈다', '들다', '꿈', '꾸다', '못', '하다', '일이', '일어나다']",1
"['일생', '걸', '만', '여자', '들이다', '진심', '바라다']",0
"['전혀', '안', '닮다', '보고', '헷갈리다', '베', '끼다', '우기다', '거지', '순간', '적', '보다', '구별', '가능하다']",0
"['꽁초', '더럽다', '죄인', '잖다']",1
"['첫', '번째', '사진', '되게', '건방지다']",0
"['풀다', '똑', '약하다', '하다', '그냥', '나오다', '죽다']",1
"['장윤정', '좋다', '난', '저', '특유', '콧소리', '좋다', '계속', '흥', '하다']",0
"['이제', '시간', 'hate', 'speech', '빨리', '갈다', '거']",1
"['핵', '이쁘다', '이전', '황정음', '나오다', '때', '찹쌀떡', '이다', '배역', '다시', '그렇다', '배역', '맡다']",0
"['웹툰', '더', '재밌다', '거', '같다']",0
"['역시', '댓글', '비율', '보다', '30', '대다', '한남', '들']",1
"['삐지다', '삐지다', '되다']",0
"['남녀', '미모']",0
"['자', '다', '은', '끝', '정신', '못', '차리다', '저', 'hate', 'speech', '하다', '보수', '대', '통합', '안', '되다']",1
"['아니다', '할배', '유리하다', '왜', '나', '보고', '자꾸', '꺼지다', '함', '아']",1
"['노가다', '하루', '벌다', '10만', '원', '버', '애', '들', '5천', '원', '뺏다', '버리다', '저', 'hate', 'speech', '은', '송장', '되다', '때', '사면', '하다', '안', '되다']",1
"['25년', '전이', '오', '달', '수도', '혈기', '왕성', '하다', '때', '그렇다', '수도', '있다', '듯', '그리고', '이제', '오다', '25년', '일', '말', '하다', '사람', '차다', '이해', '못', '하다', '혓바닥', '충실하다', '살', '차다']",0
"['알바', '들', '반대파', '숙청', '시작']",1
"['굿굿굿', '김인', '직', '형']",0
"['lh', '가다', '가지다', '이미지', '지금', '압구정', '아니다', '솔직하다', '어느', '지역', '안', '좋다', '건', '사다']",0
"['고소영', '네', '임', '벨', '류', '비다', '아우라', '없다', '듯']",0
"['얜', '또', '왜', '설치다']",1
"['놀토', '맛', '녀석', '들', '재방', 'hate', 'speech', '하다', '돈', '쓸다', '담다']",1
"['호감', '2', '비호감', '2', '이', '젠', '딱', '좋다']",0
