content,label
6월 29일 전미선에 이어 7월 31일 박일 성우님 올해 몇 번째 연예계 비보가 내려오는 거죠?.,0
정신병자 미친 여자 하나 때문에 이게 무슨 망신이냐?.,1
저 벤치 들어오면 공짜충 노숙자 hate-speech 김 여사 전용 나와바리 됨.,1
한지혜 씨 다음에는 제발 다른 연기로 볼 수 있길.,0
사쿠라가 예쁘기만 한 게 아니고 똑똑하기까지 하네 같이 있음 본인이 더 독 보인다 이거지 ᄃᄃ.,0
ᄍᄍ 중생아.,1
이 드라마 아직도 하네~~~.,0
성범죄자 이수근은 방송에 나오지 마라 아이들이 나오는 프로는 더더욱 나오지 마라 아이들에게 성폭행 가르칠 거냐?.,1
됐고 이상화 허벅지 보니까 내 아랫도리가 후덜덜하다.,1
사실 황제원이 주인공임.,0
음주 운전 목구멍가리 찢어야.,1
내 친구가 김수현 아나운서 사촌 동생이란 게 자랑스럽다 ᄒᄒ.,0
쓰레기 같은 생각.,1
정말 민주당 hate-speech들 무섭다 국가 국민을 지옥으로 끌고 내려가려 하네요 세금을 넘어 국가 빚으로 잔치을 벌여 표 얻어서 개 끌고 가듯이 불알 어라~~.,1
얼굴도 완전 미인인 데다가 ᅲᅲ 똑똑하기까지 정말 부럽습니다.,0
양다리가 잘못됐나? 난 일부다처제 우리나라에 도입해야 된다 나처럼 매력 있는 사람은 여자 하나만 있는 게 아깝고 여자들 한 데 불행이고 경제적 손실이다 제도만 바뀌면 30명 정도 사겨서 매일 바꿔서 하고 싶다.,1
지연이 가수 활동하는 건 프로임 혼자 솔로 할 때 포스 보면 요즘 아이돌이랑은 포스가 다름.,0
매주 봐도 고주원만 한 비주얼이 연예인 중에서도 흔치 않다 정말 잘생겼다.,0
근데 찍어도 7등급 나오기 힘들다던데 어케 해야 7등급 나오냐? ᄏᄏ hate-speech 그것도 대단하다.,1
문빙신 답네 ᄏᄏᄏ.,1
한국적인 미인의 대표적인 분 너무나 곱고 아름다운 모습 그 모습 뒤의 슬픔 미처 알지 못 했네요 ᅲ.,0
오늘 아침에도 뉴스 댓글 보니까 매크로 오지게 돌아가더만 팀이 몇 개나 있을지 모른다.,1
와 진짜 부모님이 돌아가시면 그것도 갑작스럽게 돌아가시면 어떤 느낌일지 상상도 하기 싫은데 궁금한 건 못 참아서 한번 죽어줬으면 좋겠다 어차피 죽는 거 ᄒ.,1
윤 미래의 재능 너무 아까워.,0
그래서 ᄉs섹는 언제 해요?.,1
국방부 잘한다 파이팅 요즘 군대 짱이네.,0
한마디로 웃긴다~ 왜 남을 물고 늘어지나?.,0
러시아는 일반적으로 기초 과학 분야 최강국이었음.,0
독립운동가 후손이라면 기개를 물려받았다면 김정은 hate-speech 한번 외쳐보지 아니면 문재인은 간첩이라고 한번 외쳐보든지.,1
그게 왜 그런 줄 아냐 지금 그렇게 하다가는 hate-speech 되거든.,1
글 쓴 거 보면 hate-speech 탐정도 아니고 공부해서 무슨 의미인지 맞춰야 해.,1
1프로도 안 되는데 10억짜리 집 사면서~~~.,0
헬조선에서 왜 문치매이 대통령 해 먹겠어 뜬구름 잡는 소리로 잊어하게 만들고 허상을 심어 주면 좋아하고 냉혹한 현실을 이야기하면 hate-speech 발광함.,1
나만 한 세입자 없음 hate-speech.,1
고급스럽고 고집도 있어 보이고 똑 부러져 보임.,0
조보아 근데 골목식당에서 졸려 보임 ᄏ 졸린데 졸음 필사적으로 참는 거 같음 ᄏ 안 졸려 보이려고 자연스럽게 하는데 졸려 보임 ᄏ.,0
