content,label
이종석 한효주 나오는 드라마 이후로 드라마 안 봤다 2년 전인가 좀 신선했었지 근데 이런 개막장 드라마는 도대체 누가 보냐면 변태들이 보는 것이다 정상적인 사람들은 채널을 돌리게 된다.,1
씨바알 노노 오늘 저녁은 꽂등심이다.,1
짱깨  거라패쓰.,1
그들의 사생활 고인이 된 설리를 위해서라도 모두 조용하길 지금 누굴 탓한다고 무슨 소용이 있다고.,0
아무리 법이 뭣 같아도 무슨 자격으로 개인의 신상 정보를 불특정 다수에게 공개하는지 도저히 이해가 안 되네요 법을 바꾸기 위해 노력하세요 저런 능력으로 불법적인 일을 공공의 이익을으로 포장하지 마시고요.,0
다음도 들어와라 하고 다른 의견 내는 유튜버 목 자르고 추 아줌마 거 여기저기서 진술 나오니 무슨 기강 감찰이니 하며 협박 들어가고 댓글에 중국 러시아 욕하는 사람들 이제 아가리 닥쳐라 우리나라도 똑같이 되었다.,1
여자들도 아무 데서나 자기야라고 하는 사람 있는데 그것도 성희롱인 것 같은데요.,0
나경아 젖깐 사진이나 인스타에 좀 올려라 물 좀 빼게.,1
어린 시절 가정 교육 못 받은 애들은 절대 그 본성을 숨길 수 없지.,1
지연이 얼굴은 더 배우 같네.,0
건축학 개론 지금 다시 봤는데 솔직히 건축학 개론보다는 아닙니다 건축학 개론 건들지 맙시다 볼 때마다 가슴이 애려 옵니다.,0
개별 공무원 뷰웅들의 헷갈려서 뭔 청와대까지 들먹이는지 빠끄네 때도 순실이가 개뻘짓했지 청와대는 아무것도 안 했지 말입니다.,1
서열 1위네 hate-speech이 부들부들 못 함.,1
대깨문이 문재인 협박범을 쉴드 치네 역시 대가리 붕어인 듯.,1
이런 기사 내지 마세요.,0
세계적으로 코로나 19 방역 최고로 인정을 받아야 한 자들 큰 박수를 보냅니다.,0
돈이 전부는 아니라지만 첫째가 돈이 먼저지 이 세상에는 돈으로 세상을 사니.,0
예능 보면서 진지 빠는 사람 많네 극혐 예능은 예능임 저거 보고 인성 어쩌고저쩌고 어휴 노답.,1
n차 하면 할수록 닐 너무 짠함 어쩐지 처음부터 눈빛이 묘하더라.,0
오 노 박 하나 심어 놓은 다음에 hate-speech 패는 거.,1
홍위병들 쩝쩝이 추가 위한다고 아가리 돈이 들어오나?.,1
시어머니 모셔다 친정 엄마 생신상도 차려줄 건가 제 능력껏 하든가 친정 엄마까지 모셔다 생고생 시키면서 점수 따고 싶나 골빈 건지 철딱서니가 없는 건지 나이도 40이나 먹었구먼.,1
남자 측 욕하지 마세요.,0
예술병 걸린 힙스터들이 또 오지게 의미 부여하고 빨아줄 듯.,1
오창석 잘생기고 연기도 괜찮은데 왜 이런 데에 피고인 때 더 퐉 터뜨렸어야 했나.,0
오로지 냄비가 무기인 오징어 썩은 냄새나는 세균 덩어리 김 치 년들.,1
hate-speech.,1
이건 무슨 소리?.,0
심보 더러운 인간들 많네 젊은 청년이 열심히 하는 게 참 대단하다 싶은데 반면에 시기 질투하는 인간들도 많을 거야.,0
공장 가야 할 새끼들이 재수한다고 hate-speech 꼴깝을 떨어대니깐 자기도 툭 튀어나오는 거지.,1
차은우는 아스트로 탈퇴하고 배우길 걸으면 안 되나요?.,0
처먹는 예능 그만 좀 해라 예능이랍시고 노이즈 마케팅으로 식당 이용하는 것도 아니고.,1
베트남들 왜 이리 나냬니까.,1
담배 피우는 여자 연예인들 아갈똥네.,1
도희가 없어서 그런가.,0
민주당이 압승인데 왜 이런 거로 hate-speech인지.,1
창문에 비추지는 어머님 설거지하시는 모습 레게노.,0
재밍네요 기괴한 거 말 그대로인 듯.,0
한국 와서 살면 그 정돈 아무것도 아닐 텐데 이참에 귀화해라.,0
헉 생각보다 엄청 예뻤네요.,0
잘생겼다 근데 40대 비율 너무 높다 으.,0
근데 김지석은 나올 짬밥이 아닌데.,0
방탄소년단도 이제 퇴물됐네 꺼져라 이제.,1
역시 오늘도 엔딩 맛집.,0
기독교 목사 떡 치고 다니고.,1
최욱만 불쌍.,0
사람이 저렇게 단기간에 찌우고 빼고 하는데 난 왜 근 10년이 지나도록 빼는 거 하나가 어려운 걸까?.,0
신품 때 섹시하신 것도 잘 어울렸는데 이 콘셉트는 쪼금 아쉽네요 그래도 예쁘심.,0
요즘 과하게 오픈하시네.,0
