content,label
"['가만', '보다', '문재인', '정부', '호구', '잡히다', '듯', '인귄쟁', '환경', '쟁이', '여성', '쟁시', '등등', '씨', '이입', '선비', '행세', '것', '들', '심부름', '역할', '목표', '듯']",1
"['벌', '받다', '남성', '피해자', '들', '이분', '꼭', '신고', '미안하다', '그냥', '벌', '받다', '그', '여자', '들', '같다', '동영상', '보', '가관', '이', '더', '같다', '여자', '때리다', '듯', '그', '여자', '들', '수준', '비슷하다', '같이', '벌', '받다']",1
"['그만', '욕', '스스로', '벌', '받다', '있다']",0
"['인정', '싫다', '일본', '탄탄하다', '스포츠', '라인업', '전부', '애니메이션', '나오다', '일본', '애니메이션', '만화', '정말', '장르', '무궁무진', '함', '스포츠', '어찌', '그리다', '만화', '박진', '감', '자다', '표현', '어리다', '때', '만화', '접', '스포츠', '각각', '장르', '동경', '품다', '커서', '그', '쪽', '진로', '정', '일본', '학생', '들', 'hate', 'speech', '많다', '그', '비다', '우리나라', '보다', '보다', '죄다', '학원', '폭력', '물', '아니다', '판타지', '조폭', '물', '씨발', '그래서', '급식', '새끼', '들', 'hate', 'speech', '가다', '널렸음', '정신', '적', 'hate', 'speech', '피', '폐하']",1
"['여자', '이쁘다', '이러니', '사', '귀지', '부럽다']",0
"['힘내다', '한고은', '님', 'btw', '아래', '한', '남충', '글', '뭐', '푸다', '평생', '연애', '하나', '못', '홀아비', '살다', '가라', '너', '같다', '건', '여자', '결혼', '자격', '없다']",1
"['뮤지', '은지원', '김종민', '이상민', '김희철', '이하늘', '김창렬', '얘', '나오다', '채널', '무조건', '돌리다']",0
"['너무', '이쁘다', '이영애']",0
"['여자', '꽃', '표현', '좀', '그렇다']",0
"['아앙', '소현', '누나', '간지럽다', '아앙', '기모찌']",1
"['톱질', '나무', '저런', '식', '밟다', '끝', '부분', '전부', '아작', '나다', '피스', '박다', '거', '보', '토크', '조절', '제대로', '컨트롤', '못', '섭취', '때', '컨샙', '잡다', '조금', '해', '보다', '거', '가지', '너무', '과', '우려', '먹다', '설정', '좀', '보기', '불편']",0
"['일본인', '줄', '알', '진짜', '따로', '찾아보다', '정도', '이다', '연기', '매우', '인상', '깊다']",0
"['아니다', '코', '피어싱', '아프다', '형', '들', '얘기', '주다', '있다']",0
"['어쩐', '대', '김', '정훈', '진짜', '진아', '좋아하다', '것', '같다']",0
"['지겹다', '지겹다', '그만하다', '마']",0
"['똥꼬', '충', '끼리', '자기', '들', '끼리', '병', '돌리다', '상관없다', '문제', '그', '새끼', '들', '여자', '그리고', '그', '여자', '다른', '일반', '남자', '퍼지다', '거', '똥꼬', '충', '들', '결혼', '애도', '낳다']",1
"['나라', '버리다', '미국인', '안', '궁금하다']",1
"['내', '받다', '싶다', '대로', '상대', '주', '대부분', '사람', '들', '권리', '양', '웃기다', '40', '대다', '중반', '되어다', '깨달', '것', '상대방', '인격', '수준', '맞다', '대', '하자', '이다']",0
['그냥'],1
"['김나영', '발톱', '때', '못', '살다', '것', '들', '불쌍하다', '응원', '한', '대', '너희', '들', '더', '불쌍하다', '너희', '들', '막장', '인생', '좀', '보살피다']",1
"['저', '거', '에비', '없다', '국장', '되다', '거', '아니다', '어느', '정도', '성적', '맞추다', '대가리', '딸리다', '일게이', '들', '어차피', '못', '받다', '부러워하다', '것', '없다']",1
"['여기', '댓글', '수준', '차다', '애', '못', '소리', '없다', '엄마', '멀다', '입히다', '멀다', '하든', '멀다', '상관', '어이', '없다']",0
['쓰레기'],1
"['이상화', '아깝다', '움']",0
"['나이', '초월', '사랑', '솔직하다', '아름답다']",0
"['러시아', '드디어', '해내다']",0
"['일게이', '들', '제일', '좋아하다', '소재']",1
"['부모', '욕', '먹다', '바로', '꿈틀', '대주', '거지', '논', '자칭', '미래', '없다', '네', '살다', '집다', '꽤', '자다', '사나', '보다', '얼마나', '자다', '살다', '인증', '못', '지옥', '있다', '자식', '새끼', '들', '가정', '교육', '자다', '못', '시키다', '다음', '니', '증조', '할아버지', '시작', '깡그리', '모가지', '자르다', '버리다', '서비스', '어미', '변기', '통', '머리', '넣다', '놓다', '밟다', '목', '꺾다', '죽이다', '드림']",1
"['1회', '교도소', '마취', '없이', '자기', '몸', '꿰매다', '거', '뜨겁다', '커피', '차갑다', '거만', '먹다', '거', '보고', '알다', '난', '무', '통증', '무감각']",0
"['무섭다', '잔인하다', '재밌다', '불쌍하다']",0
"['일반인', '기준', '보다', '직업', '잃다', '2억', '주다', '2년', '깜방', '생활', '간', '작다', '처벌', '아니다', '것', '같다']",0
"['그런데', '승리']",0
"['대답', '뭐', '그딴', '거', '왜', '봄', '이', '내', '대답']",1
"['괜찮다', '음악', '대답', '힘내다']",0
"['수도권', '인구', '집중', '현상', '잘', '못', '되다', '건', '아니다', '오히려', '뉴욕', '도쿄', '런던', '같다', '선진국', '도시', '중국', '대도시', '들', '경쟁', '서울', '더', '키우다', '게', '현실', '문재인', '울다', '수도권', '집중', '잘', '못', '되다', '현상', '양', '살', '있다', '그냥', '지방', '자연스레', '인구', '소멸', '되게', '내다', '두다', '공장', '농업', '생산', '기지', '화', '관광지', '개발', '등', '가다', '게', '옳다', '어차피', '지방', '인간', '살', '수', '없다', '반', '축생', '들', '살다', '곳', '변하다', '지다', '오래', '왜', '지방', '억지로', '살리다', '지', '방인', '들', '먹다', '살다', '하니', '수도권', '집중', '현상', '막다', '하니', '지방도', '균형', '발전', '시키다', '자고', '문재인', '개', '소리', '다른', '게', '뭐']",1
"['사랑', '무죄']",0
"['생기다', '거', '무슨', '40', '대다', '범죄자', '같이', '생기다', '하늘나라']",1
"['저', 'hate', 'speech', '이', '라이트', '하우스', '치다', '보고', '있다', '말', '다', '뭐']",1
"['개', '진핑', '똥', '짱깨', '똥', '걸레', '헬쥐']",1
"['정', '주다', '싶다', '희한하다', '정이', '안', '가다', '나영석', '사단']",0
"['핀란드', '뭐', '대단하다', '건가']",0
"['이승', '록', '기자', '변태', '같다', '일반인', '사진', '비키니', '사진', '들다', '오다', '뭐', '함']",1
"['문재인', '때문', '나라', '말아먹다', '탄핵', '정답', '일', '듯']",1
"['후원', '계좌', '있다', '돈', '드리다', '싶다']",0
"['넘다', '슬프다', '하', '마지막', '함께', '해주', '고프다', '김원희', '씨', '맘', '얼마나', '아프다', '힘내다', '힘내다', '곱', '단아']",0
